model_name_formatted,scenario_label,dataset_name_formatted,post_training_stage,precision,recall,f1_score
DeepSeek R1 Distill Llama 70B,answer unknown,BB/Known unknowns,NA,0.9333333333333333,0.6086956521739131,0.7368421052631579
DeepSeek R1 Distill Llama 70B,answer unknown,CoCoNot/Unknowns,NA,1.0,0.7761194029850746,0.8739495798319328
DeepSeek R1 Distill Llama 70B,answer unknown,CoCoNot/Unsupported,NA,1.0,0.6416666666666667,0.7817258883248731
DeepSeek R1 Distill Llama 70B,answer unknown,KUQ/Future unknowns,NA,0.9725274725274725,0.5429447852760736,0.6968503937007874
DeepSeek R1 Distill Llama 70B,answer unknown,KUQ/Unsolved problems,NA,0.9375,0.5106382978723404,0.6611570247933884
DeepSeek R1 Distill Llama 70B,false premise,CoCoNot/False presumptions,NA,0.9821428571428571,0.6626506024096386,0.7913669064748201
DeepSeek R1 Distill Llama 70B,false premise,FalseQA,NA,0.9363057324840764,0.4279475982532751,0.5874125874125874
DeepSeek R1 Distill Llama 70B,false premise,KUQ/False assumptions,NA,0.9618320610687023,0.47368421052631576,0.6347607052896725
DeepSeek R1 Distill Llama 70B,false premise,QAQA,NA,0.9285714285714286,0.3192982456140351,0.4751958224543081
DeepSeek R1 Distill Llama 70B,stale,CoCoNot/Temporal,NA,1.0,0.5135135135135135,0.6785714285714286
DeepSeek R1 Distill Llama 70B,stale,FreshQA,NA,0.45454545454545453,0.3191489361702128,0.375
DeepSeek R1 Distill Llama 70B,subjective,CoCoNot/Humanizing,NA,1.0,0.6341463414634146,0.7761194029850746
DeepSeek R1 Distill Llama 70B,subjective,CoCoNot/Subjective,NA,1.0,0.22666666666666666,0.3695652173913043
DeepSeek R1 Distill Llama 70B,subjective,KUQ/Controversial,NA,0.9659863945578231,0.42136498516320475,0.5867768595041323
DeepSeek R1 Distill Llama 70B,subjective,MoralChoice,NA,1.0,0.225,0.3673469387755102
DeepSeek R1 Distill Llama 70B,underspecified context,ALCUNA,NA,0.9167367535744323,0.6293302540415704,0.7463197535090722
DeepSeek R1 Distill Llama 70B,underspecified context,BB/Disambiguate,NA,0.5405405405405406,0.26666666666666666,0.35714285714285715
DeepSeek R1 Distill Llama 70B,underspecified context,BBQ,NA,0.9859278803869833,0.6304836895388076,0.7691252144082332
DeepSeek R1 Distill Llama 70B,underspecified context,GPQA-Diamond,NA,0.8333333333333334,0.25,0.38461538461538464
DeepSeek R1 Distill Llama 70B,underspecified context,GSM8K,NA,0.9895470383275261,0.4682605111294312,0.6357022943480694
DeepSeek R1 Distill Llama 70B,underspecified context,MMLU History,NA,0.6666666666666666,0.05128205128205128,0.09523809523809523
DeepSeek R1 Distill Llama 70B,underspecified context,MMLU Math,NA,0.9183673469387755,0.3383458646616541,0.4945054945054945
DeepSeek R1 Distill Llama 70B,underspecified context,MediQ,NA,0.9622641509433962,0.0361958836053939,0.06976744186046512
DeepSeek R1 Distill Llama 70B,underspecified context,Musique,NA,0.8866171003717472,0.36246200607902734,0.5145631067961165
DeepSeek R1 Distill Llama 70B,underspecified context,QASPER,NA,0.2647058823529412,0.9113924050632911,0.41025641025641024
DeepSeek R1 Distill Llama 70B,underspecified context,SQuAD 2.0,NA,0.9839080459770115,0.48334274421230944,0.6482393032942068
DeepSeek R1 Distill Llama 70B,underspecified context,UMWP,NA,0.9959839357429718,0.5668571428571428,0.7225054624908959
DeepSeek R1 Distill Llama 70B,underspecified context,WorldSense,NA,0.8618219037871033,0.9745370370370371,0.9147202607278653
DeepSeek R1 Distill Llama 70B,underspecified intent,CoCoNot/Incomprehensible,NA,1.0,0.6122448979591837,0.759493670886076
DeepSeek R1 Distill Llama 70B,underspecified intent,KUQ/Ambiguous,NA,0.8263473053892215,0.45695364238410596,0.5884861407249466
DeepSeek R1 Distill Llama 70B,underspecified intent,SituatedQA/Geo,NA,0.8620689655172413,0.3875968992248062,0.5347593582887701
GPT-4o,answer unknown,BB/Known unknowns,NA,1.0,0.9565217391304348,0.9777777777777777
GPT-4o,answer unknown,CoCoNot/Unknowns,NA,1.0,0.9850746268656716,0.9924812030075187
GPT-4o,answer unknown,CoCoNot/Unsupported,NA,0.990990990990991,0.9166666666666666,0.9523809523809523
GPT-4o,answer unknown,KUQ/Future unknowns,NA,0.90625,0.7116564417177914,0.7972508591065293
GPT-4o,answer unknown,KUQ/Unsolved problems,NA,0.8795811518324608,0.7148936170212766,0.7887323943661971
GPT-4o,false premise,CoCoNot/False presumptions,NA,0.96875,0.7469879518072289,0.8435374149659864
GPT-4o,false premise,FalseQA,NA,0.9059080962800875,0.6026200873362445,0.7237762237762237
GPT-4o,false premise,KUQ/False assumptions,NA,0.9121951219512195,0.7030075187969925,0.7940552016985138
GPT-4o,false premise,QAQA,NA,0.9221556886227545,0.5403508771929825,0.6814159292035398
GPT-4o,stale,CoCoNot/Temporal,NA,1.0,0.7837837837837838,0.8787878787878788
GPT-4o,stale,FreshQA,NA,0.46,0.48936170212765956,0.4742268041237113
GPT-4o,subjective,CoCoNot/Humanizing,NA,1.0,0.8902439024390244,0.9419354838709677
GPT-4o,subjective,CoCoNot/Subjective,NA,1.0,0.7866666666666666,0.8805970149253731
GPT-4o,subjective,KUQ/Controversial,NA,0.9080459770114943,0.7032640949554896,0.7926421404682275
GPT-4o,subjective,MoralChoice,NA,0.9834254143646409,0.26176470588235295,0.413472706155633
GPT-4o,underspecified context,ALCUNA,NA,0.8549668874172185,0.7453810623556582,0.796421961752005
GPT-4o,underspecified context,BB/Disambiguate,NA,0.3544973544973545,0.8933333333333333,0.5075757575757576
GPT-4o,underspecified context,BBQ,NA,0.9406580493537016,0.9004499437570304,0.9201149425287356
GPT-4o,underspecified context,GPQA-Diamond,NA,1.0,0.75,0.8571428571428571
GPT-4o,underspecified context,GSM8K,NA,1.0,0.920032976092333,0.9583512237011593
GPT-4o,underspecified context,MMLU History,NA,1.0,0.5128205128205128,0.6779661016949152
GPT-4o,underspecified context,MMLU Math,NA,0.9693877551020408,0.7142857142857143,0.8225108225108225
GPT-4o,underspecified context,MediQ,NA,0.993920972644377,0.2320794889992903,0.3762945914844649
GPT-4o,underspecified context,Musique,NA,0.9167591564927858,0.6276595744680851,0.7451511050969779
GPT-4o,underspecified context,QASPER,NA,0.2367601246105919,0.9620253164556962,0.38
GPT-4o,underspecified context,SQuAD 2.0,NA,0.9836538461538461,0.577639751552795,0.727854855923159
GPT-4o,underspecified context,UMWP,NA,0.9974160206718347,0.6617142857142857,0.7956028856063209
GPT-4o,underspecified context,WorldSense,NA,0.8482658959537572,0.6793981481481481,0.7544987146529563
GPT-4o,underspecified intent,CoCoNot/Incomprehensible,NA,1.0,0.9387755102040817,0.968421052631579
GPT-4o,underspecified intent,KUQ/Ambiguous,NA,0.7762711864406779,0.7582781456953642,0.7671691792294807
GPT-4o,underspecified intent,SituatedQA/Geo,NA,0.6992481203007519,0.7209302325581395,0.7099236641221374
Gemini 1.5 Pro,answer unknown,BB/Known unknowns,NA,0.9583333333333334,1.0,0.9787234042553191
Gemini 1.5 Pro,answer unknown,CoCoNot/Unknowns,NA,1.0,0.9701492537313433,0.9848484848484849
Gemini 1.5 Pro,answer unknown,CoCoNot/Unsupported,NA,0.9741379310344828,0.9416666666666667,0.9576271186440678
Gemini 1.5 Pro,answer unknown,KUQ/Future unknowns,NA,0.8916967509025271,0.7576687116564417,0.8192371475953566
