trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,0.00013474565521804142,8,5,48000,0.16822429906542055,1220.4913277626038
1,2.1876934791891878e-06,1,0,32000,0.5607476635514018,156.68836736679077
2,0.0002596356391783839,3,4,48000,0.4953271028037383,347.83239936828613
3,2.4036945650359635e-05,9,5,48000,0.9439252336448598,1422.8094398975372
4,0.0001313264124354961,10,1,160000,0.16822429906542055,5689.048450469971
5,6.746943345435101e-05,1,1,80000,0.40186915887850466,232.2589693069458
6,0.00011868090595891193,8,5,64000,0.16822429906542055,1714.0021033287048
7,0.0006945102958964418,1,5,80000,0.5420560747663551,165.81079936027527
8,0.000217517834520085,2,2,112000,0.5420560747663551,446.92403960227966
9,4.184779790537141e-06,3,2,80000,0.5794392523364486,594.3180975914001
10,1.3360638755287986e-05,6,3,48000,0.9439252336448598,911.0705842971802
11,1.2671715446570653e-05,6,3,48000,0.897196261682243,912.0766155719757
12,1.7916209923710853e-05,6,3,48000,0.8878504672897196,907.8801627159119
13,8.111633738726016e-06,10,4,48000,0.9158878504672897,1589.9469902515411
14,3.303689403160477e-05,8,4,32000,0.3364485981308411,943.8815126419067
15,3.306894478040735e-05,5,3,64000,0.8691588785046729,868.7865660190582
16,1.5803363113033842e-06,5,4,112000,0.5794392523364486,1229.8384971618652
17,5.418883830142336e-06,9,2,160000,0.9252336448598131,3889.1329250335693
18,4.5323633077346405e-05,7,0,48000,0.16822429906542055,1331.981938123703
19,1.0344382198391436e-05,4,5,48000,0.3364485981308411,437.7149164676666
20,2.07838257365148e-05,9,1,48000,0.9252336448598131,1637.477483034134
21,5.031349780973743e-06,9,2,160000,0.9158878504672897,3894.6070322990417
22,3.44207817841052e-06,7,3,160000,0.9158878504672897,2791.9695093631744
23,7.3647505973724595e-06,9,2,160000,0.9345794392523364,3850.8136711120605
24,1.687476207961704e-05,7,1,160000,0.9719626168224299,3077.0831413269043
25,1.8054326525090546e-05,7,1,64000,0.9626168224299065,1473.4467470645905
26,7.356393272122168e-05,7,1,64000,0.16822429906542055,1477.1454818248749
27,2.8602556672122764e-05,7,0,64000,0.9906542056074766,1566.9717922210693
28,5.6253771753437474e-05,7,0,64000,0.16822429906542055,1568.3713114261627
29,1.650672205082774e-05,5,0,64000,0.9532710280373832,1123.177268743515
30,3.451459333238503e-05,8,1,64000,0.9252336448598131,1713.9421246051788
31,2.0261702908886225e-05,5,0,64000,0.9345794392523364,1133.1482672691345
32,1.5189460050888718e-05,4,0,64000,0.9532710280373832,908.4220435619354
33,2.7132949977354553e-06,6,0,64000,0.8504672897196262,1367.3284413814545
34,8.604285565747404e-06,4,1,32000,0.8504672897196262,541.9974114894867
35,2.3627595102249793e-05,7,0,64000,0.9532710280373832,1585.8324539661407
36,1.1076059844731699e-06,8,1,64000,0.6448598130841121,1734.388741016388
37,0.00010218109220586217,5,0,160000,0.16822429906542055,2338.731714248657
38,4.7128489943334946e-05,6,1,64000,0.16822429906542055,1278.5639605522156
39,6.339904229275371e-06,8,0,112000,0.9252336448598131,2722.3249831199646
40,0.00020702043943474497,7,1,80000,0.16822429906542055,1707.2339317798615
41,1.4365340500653303e-05,4,0,64000,0.9345794392523364,905.4852876663208
42,2.654134735735262e-05,3,0,64000,0.8785046728971962,681.9060535430908
43,1.4872782721262151e-05,3,0,64000,0.9439252336448598,681.0370342731476
44,1.0970510693375992e-05,4,1,64000,0.9252336448598131,814.5976088047028
45,0.0008676002265858148,6,0,32000,0.16822429906542055,929.5829842090607
46,8.637175665846913e-05,5,1,64000,0.16822429906542055,1047.4972050189972
47,1.626015396024969e-05,2,0,80000,0.8691588785046729,516.6181883811951
48,3.789571851916593e-05,6,2,160000,0.16822429906542055,2489.497887611389
49,2.6149739808448104e-05,4,1,64000,0.4766355140186916,801.3585121631622
