trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,5.34522157325704e-06,9,5,80000,0.6350340136054422,1446.4905207157135
1,2.5841696845148468e-05,1,0,32000,0.373015873015873,135.40621328353882
2,5.497992114292442e-05,6,3,64000,0.8525793650793652,922.2608435153961
3,2.705538105615183e-06,4,2,48000,0.3696428571428571,492.8906400203705
4,1.1722528911467922e-06,7,0,48000,0.33571428571428574,1174.744157075882
5,5.750746773997775e-05,5,4,64000,0.4244897959183674,589.5526947975159
6,1.224934983012534e-05,10,2,32000,0.8899092970521542,1126.5782907009125
7,5.90045108248976e-06,2,4,80000,0.05215419501133787,224.3857228755951
8,3.920030013190141e-05,8,3,48000,0.8978458049886621,1044.3307347297668
9,6.403335020616623e-05,8,2,64000,0.8110260770975055,1446.5435767173767
10,1.7089485529154264e-05,9,3,80000,0.8756235827664399,1697.8994455337524
11,0.0001,8,3,80000,0.717687074829932,1443.4246969223022
12,1.3962918338656016e-05,8,3,32000,0.8425170068027211,853.9446363449097
13,2.449331969638253e-05,7,2,32000,0.7913832199546486,787.3336079120636
14,2.104915171473406e-05,10,2,80000,0.8908163265306123,2049.32177233696
15,2.209638350675787e-05,10,3,32000,0.8373299319727892,1145.702748298645
16,2.6606794408387243e-05,10,2,32000,0.8628401360544217,1197.7040672302246
17,2.784807275676205e-05,8,3,80000,0.90578231292517,1465.5964453220367
18,1.3553966513322193e-05,10,1,80000,0.91281179138322,2069.033428668976
19,3.617673617863875e-05,10,0,80000,0.9452380952380952,2220.9162425994873
20,2.9136556623921912e-05,9,0,80000,0.91281179138322,1968.0501165390015
21,3.604956009455319e-05,10,1,80000,0.9509070294784581,2075.0972146987915
22,0.0001,10,0,80000,0.14285714285714285,2236.692976951599
23,6.134099412228473e-05,7,5,80000,0.5751700680272108,1036.4270374774933
24,2.5043812825497167e-05,10,0,80000,0.9295918367346939,2130.9901099205017
25,4.54384488126241e-05,7,2,80000,0.8819727891156462,1332.0542466640472
26,2.7774866534674465e-05,10,1,80000,0.916893424036281,2059.597153186798
27,7.830385850252995e-06,9,1,80000,0.8802721088435375,1865.653038740158
28,7.69486077054905e-06,10,0,32000,0.8519274376417234,1320.4622738361359
29,7.012992752976191e-06,10,2,80000,0.8675736961451247,2077.671550989151
30,8.763268889554188e-05,6,2,32000,0.16071428571428573,685.2079784870148
31,3.1794405277373436e-05,8,2,64000,0.9137188208616779,1541.6506414413452
32,4.9248003319029005e-05,9,3,80000,0.9380952380952381,1721.4850206375122
33,2.780892819527769e-05,10,0,48000,0.9247165532879819,1760.645601272583
34,4.7897438212169255e-05,10,2,80000,0.9382086167800453,1911.7232098579407
35,5.135572130601178e-05,8,3,80000,0.9373015873015873,1460.6102554798126
36,1.0370883125021973e-05,10,1,48000,0.8802721088435373,1647.895979642868
37,7.933808851355013e-06,10,3,32000,0.8010487528344671,1115.238713979721
38,1.0391330654275306e-05,8,0,80000,0.876530612244898,1758.4135677814484
39,1.0252963336083936e-05,8,2,80000,0.8295068027210883,1540.6744179725647
