trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,5.84119934484068e-05,1,4,48000,0.3460317460317461,208.36035108566284
1,3.750786434146841e-05,6,3,80000,0.14285714285714285,1474.3989160060883
2,3.0263879086690676e-06,5,1,48000,0.7781179138321994,939.9601399898529
3,6.501308293676708e-05,9,4,64000,0.14285714285714285,1780.6896398067474
4,0.00020890773453527097,5,3,64000,0.14285714285714285,910.3918979167938
5,4.347202457576587e-06,7,1,32000,0.8348356009070296,1111.9827363491058
6,0.00016380038165976683,9,2,32000,0.14285714285714285,1345.27623128891
7,2.077414822730231e-05,3,1,160000,0.8040816326530612,1329.3381714820862
8,0.00018312170898938097,1,2,112000,0.43764172335600904,293.83492946624756
9,0.0007789841397153855,1,0,64000,0.14285714285714285,250.809063911438
10,1.4373949584894986e-06,7,0,32000,0.681859410430839,1169.7865602970123
11,7.574871279324691e-06,3,1,160000,0.7439909297052154,1380.4879603385925
12,1.0602271804410723e-05,3,1,160000,0.8186791383219953,1347.022071838379
13,9.079276165456418e-06,7,1,160000,0.9412698412698413,3491.500141620636
14,4.242340021241533e-06,7,0,32000,0.8541950113378685,1281.1975257396698
15,1.0833382968382169e-06,8,0,80000,0.7503401360544217,2349.562531232834
16,1.2514941105724767e-05,10,5,112000,0.9358276643990929,3306.3510670661926
17,1.4611040217620883e-05,10,5,112000,0.9531746031746032,3403.6259067058563
18,2.239002162301077e-05,10,5,112000,0.9659863945578231,3190.317522287369
19,2.379403802839994e-05,10,5,112000,0.9611111111111111,3231.2481410503387
20,3.5473149149912795e-05,9,4,112000,0.9509070294784581,2846.665180206299
21,1.9032643092788013e-05,10,5,112000,0.9761904761904763,3070.168289422989
22,8.541671188493977e-05,10,5,112000,0.14285714285714285,3061.8785302639008
23,1.8232013031830475e-05,9,5,112000,0.9571428571428572,2676.497346639633
24,2.7057118915335602e-05,8,4,112000,0.9404761904761905,2438.4886543750763
25,0.00011147106909616117,10,5,112000,0.14285714285714285,3092.3706080913544
26,0.00047438818433462185,8,4,112000,0.14285714285714285,2446.209726333618
27,4.257771520693261e-05,10,5,112000,0.14285714285714285,3083.7482895851135
28,7.213482010397285e-06,9,3,112000,0.9350340136054422,2936.1320576667786
29,5.015148477474493e-05,8,4,48000,0.8960317460317461,1336.049506187439
30,2.438573533548034e-05,10,4,80000,0.976984126984127,2559.375977039337
31,2.3950280010585722e-05,10,5,80000,0.969047619047619,2373.35684967041
32,3.380113422545578e-05,9,4,80000,0.9761904761904763,2196.933615922928
33,6.651141945915937e-05,9,4,80000,0.2619047619047619,2165.000890016556
34,3.2794295349257114e-05,9,4,80000,0.9563492063492064,2154.1409080028534
35,5.504058746825472e-06,8,3,80000,0.9150793650793652,1981.1979534626007
36,1.6351791459782766e-05,6,3,80000,0.957936507936508,1417.6428527832031
37,7.599264923738018e-05,9,4,80000,0.14285714285714285,2148.5547790527344
38,2.421151654214077e-06,5,5,80000,0.14795918367346936,900.5591297149658
39,0.0001014015261381895,10,3,80000,0.14285714285714285,2541.2457146644592
40,3.8585273413269426e-05,6,2,48000,0.9270975056689342,1129.5436561107635
41,2.261377880563272e-05,10,5,80000,0.9478458049886622,2288.669954776764
42,5.142066050064732e-05,10,4,64000,0.14285714285714285,2044.0602457523346
43,2.943219506846421e-05,9,5,80000,0.7277777777777779,1935.909347295761
44,1.2685674940943153e-05,10,4,80000,0.9111111111111111,2296.384345293045
45,1.9012035357782105e-05,9,5,48000,0.9492063492063492,1402.2789988517761
46,0.0002953210802945283,2,5,64000,0.5379818594104309,323.06320881843567
47,9.557019523178445e-06,8,4,32000,0.8343537414965986,1033.3420646190643
48,0.00012884425229127706,4,5,80000,0.49727891156462584,712.564656496048
49,5.524733916973894e-05,9,4,160000,0.14285714285714285,3786.527594566345
