trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,7.604688436376004e-05,9,5,32000,0.14285714285714285,1191.7362279891968
1,3.555959939235731e-05,4,5,64000,0.3971655328798186,578.9714126586914
2,0.0001488106493653796,2,4,48000,0.44092970521541947,232.07375693321228
3,1.0442111630267777e-06,1,0,80000,0.539172335600907,283.3194537162781
4,0.00017330953590761875,8,0,48000,0.14285714285714285,1695.1493954658508
5,1.465544147429366e-05,10,0,160000,0.9380952380952381,5197.158560752869
6,0.0005316739298254586,3,0,80000,0.14285714285714285,841.2790081501007
7,9.856178957004026e-06,9,4,160000,0.9142857142857144,3914.3043427467346
8,8.361951918568349e-05,1,0,32000,0.14285714285714285,160.42277669906616
9,4.850602610804361e-05,7,1,32000,0.14285714285714285,1066.741952419281
10,7.858193923272626e-06,6,2,112000,0.8857142857142858,2525.717618703842
11,7.927706765139507e-06,10,3,160000,0.9230158730158731,4666.60443854332
12,8.250025218465151e-06,10,3,160000,0.9063492063492063,4691.278833866119
13,2.286870729795893e-06,10,2,160000,0.9270975056689343,5826.141859054565
14,1.313761215379648e-06,5,2,160000,0.625170068027211,4786.618257284164
15,2.449496079068403e-06,8,1,160000,0.8511337868480725,4913.611247062683
16,3.5002547021468166e-06,10,1,112000,0.9164682539682539,3851.764729499817
17,1.3781394107935181e-05,7,2,64000,0.9492063492063492,1711.9623365402222
18,1.4535808284134982e-05,6,1,64000,0.9642857142857143,1443.3082156181335
19,2.3427307523104754e-05,6,1,64000,0.9603174603174603,1654.3896386623383
20,2.191893263837704e-05,5,1,64000,0.958843537414966,1531.3389496803284
21,2.340659148466845e-05,5,1,64000,0.9611111111111111,1399.7938144207
22,2.5702945162612535e-05,6,1,64000,0.9675736961451247,1800.142878293991
23,4.0244479910293386e-05,4,1,64000,0.9064625850340136,1330.272278547287
24,4.103028702110064e-06,4,2,64000,0.792375283446712,1082.3275482654572
25,6.489846993020852e-05,7,1,64000,0.14285714285714285,1868.1633431911469
26,0.0001462613857496785,6,3,64000,0.14285714285714285,1276.8001391887665
27,2.038014959754846e-05,5,1,64000,0.9611111111111111,1300.406932592392
28,5.272158626298012e-06,3,2,64000,0.7314058956916101,574.9950659275055
29,0.0004963436977201115,8,0,64000,0.14285714285714285,2376.240658760071
30,0.0009728400858964236,6,4,48000,0.14285714285714285,1022.6862807273865
31,2.2040199904219357e-05,5,1,64000,0.9444444444444444,1390.4492661952972
32,1.6376031132748662e-05,5,1,64000,0.9452380952380952,1406.7201945781708
33,3.093834539809232e-05,4,1,64000,0.8485260770975057,1244.480155467987
34,8.228286334495376e-05,3,5,80000,0.42879818594104313,579.0909447669983
35,3.1798565204318836e-05,7,0,64000,0.9053571428571429,2222.563158750534
36,5.413463996323978e-05,5,2,112000,0.14285714285714285,2069.474911928177
37,1.2133140779684782e-05,6,0,48000,0.9484126984126985,1951.5219888687134
38,0.00012877285395209768,4,0,32000,0.14285714285714285,1180.1250717639923
39,1.7298672868917156e-05,7,1,80000,0.969047619047619,2446.3565702438354
40,3.117068041151947e-05,9,0,80000,0.9087301587301587,2838.53426527977
41,1.8893021822875928e-05,7,1,80000,0.9540816326530612,2185.97239279747
42,1.1529119514779511e-05,6,1,80000,0.9222222222222223,1715.8898804187775
43,5.320347437429638e-06,8,1,80000,0.9698412698412698,5851.782410860062
44,5.891076123694511e-06,8,2,80000,0.9112244897959183,4726.736238956451
45,9.565728618164972e-06,9,0,80000,0.9445578231292516,6410.981324911118
46,5.852325387297431e-06,8,1,80000,0.9571428571428572,4802.512898921967
47,4.3012588792763034e-05,7,2,32000,0.24603174603174605,2837.580192565918
48,2.8923892333382104e-06,9,0,80000,0.939795918367347,9264.410212993622
49,1.6534308873841123e-06,7,3,48000,0.6887755102040816,4859.659268856049
