trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,2.0371709594231842e-05,3,3,80000,0.11337868480725623,358.15134382247925
1,1.3254328021099157e-06,1,0,80000,0.15873015873015875,217.04426074028015
2,4.483428318864415e-06,4,3,48000,0.38392857142857145,392.3204972743988
3,1.0140046815999171e-05,5,1,64000,0.7446995464852607,903.2970535755157
4,4.231562028890044e-05,7,4,48000,0.8046768707482992,802.1258928775787
5,1.0822983386817208e-06,7,3,64000,0.22222222222222224,1084.7873260974884
6,6.516625294832691e-05,7,2,48000,0.790702947845805,1011.455778837204
7,1.4506100085287442e-05,9,0,64000,0.9261904761904762,1868.1835327148438
8,6.780848234828243e-06,1,3,80000,0.04648526077097505,112.29019069671631
9,1.2798419859680335e-05,8,3,64000,0.8583900226757369,1360.9001533985138
10,3.0547627273700356e-06,10,0,32000,0.6194160997732426,1327.3502085208893
11,1.7256137488628517e-05,10,5,64000,0.882766439909297,1631.542582988739
12,2.6651199649872067e-05,10,5,64000,0.91281179138322,1645.133312702179
13,4.085871331432734e-05,9,5,64000,0.8921768707482993,1423.7040174007416
14,9.948288324101224e-05,9,1,32000,0.14285714285714285,1133.912885427475
15,2.5236363901966503e-05,10,1,64000,0.9111111111111111,2061.347927570343
16,3.4772859931839676e-05,8,4,64000,0.910657596371882,1372.6422114372253
17,7.076676097647316e-06,6,2,64000,0.6475907029478458,1107.8031356334686
18,3.0997987271906266e-06,9,4,32000,0.4922902494331066,927.1580150127411
19,1.539384625704885e-05,8,0,64000,0.90578231292517,1689.8010663986206
20,2.9309007047903748e-05,6,5,64000,0.539030612244898,834.776478767395
21,2.0533453207774675e-05,10,1,64000,0.9174603174603175,2063.206304550171
22,6.298036560322346e-05,10,1,64000,0.8970521541950113,2063.898044347763
23,8.5579138670867e-06,9,0,64000,0.9176870748299321,1946.558144569397
24,7.07297289052295e-06,9,0,64000,0.8747448979591835,1942.3745272159576
25,9.824476612911584e-06,8,0,64000,0.9097505668934242,1716.9962384700775
26,1.1395697845129763e-05,9,1,80000,0.890702947845805,1830.6175374984741
27,5.002059670332958e-06,3,2,32000,0.31734693877551023,266.21522092819214
28,1.9429993657470758e-05,7,0,48000,0.886734693877551,1201.0953273773193
29,2.0124753885183107e-05,5,1,80000,0.846031746031746,968.1936852931976
30,3.04425767143964e-06,8,0,64000,0.6674886621315193,1657.8615567684174
31,2.5852997177144408e-05,10,1,64000,0.9097505668934242,2003.7307178974152
32,1.4494747024328931e-05,10,0,64000,0.9142857142857144,2093.813229084015
33,1.3613577344322703e-05,9,0,64000,0.9222222222222223,1919.1542572975159
34,9.093887412925298e-06,9,0,64000,0.9097505668934242,1921.3000791072845
35,4.639906876333587e-06,9,0,48000,0.7478741496598639,1535.7172453403473
36,8.530584237115817e-06,8,1,80000,0.8256235827664399,1598.1396930217743
37,1.818111695191851e-06,7,0,64000,0.44829931972789117,1438.1469106674194
38,1.2879468250904927e-05,4,2,64000,0.7165816326530612,673.3983571529388
39,5.8328478272413115e-06,2,1,48000,0.4114795918367347,262.83560276031494
40,2.1150103101488805e-05,6,0,64000,0.9023809523809524,1247.1127195358276
41,1.5883531539438366e-05,10,0,64000,0.9103174603174603,2070.6904578208923
42,1.2580146267302704e-05,9,0,64000,0.9120181405895692,1888.622286081314
